epoch,train_loss,val_loss,train_acc,val_acc,train_std,val_std
1,0.3017953333050181,0.18250944617399323,0.9152857142857143,0.9502777777777778,0.6905075907707214,0.29696008563041687
2,0.1395245831735544,0.26432905106723903,0.9612619047619048,0.9219444444444445,0.2546016275882721,0.3406331241130829
3,0.103548264621922,0.18590705178721803,0.9712142857142857,0.9616666666666667,0.22911803424358368,0.4462900161743164
4,0.08477072816502447,0.13816949834786382,0.9762380952380952,0.966,0.20676346123218536,0.2950704097747803
5,0.07517509599584926,0.1478780095676311,0.9796428571428571,0.9661666666666666,0.20505942404270172,0.36893779039382935
6,0.05630201841160442,0.13739411075231567,0.9840476190476191,0.9672222222222222,0.17333504557609558,0.3143105208873749
7,0.058263053311337194,0.14786242415278128,0.9842380952380952,0.9659444444444445,0.1830494999885559,0.34018006920814514
8,0.0479979658108708,0.1524467550960189,0.9864761904761905,0.9703888888888889,0.16447855532169342,0.4056176543235779
9,0.03854120381033186,0.1553291279357696,0.9895238095238095,0.9741111111111111,0.1531975120306015,0.47370773553848267
10,0.039570234177820934,0.19066670891460677,0.9896190476190476,0.9681111111111111,0.1664157658815384,0.5525221228599548
11,0.041786620026611924,0.16197113413306366,0.9890238095238095,0.9728333333333333,0.17756304144859314,0.45956578850746155
12,0.05016573836502936,0.1599778631804868,0.9880714285714286,0.9701666666666666,0.21050657331943512,0.45288872718811035
13,0.03722483953096572,0.16987138232719026,0.9907619047619047,0.9706666666666667,0.18060263991355896,0.4689963757991791
14,0.029741408666523094,0.17220086261967088,0.9922142857142857,0.9735555555555555,0.14079661667346954,0.5108270645141602
15,0.035622715940254894,0.20622796579007502,0.9910952380952381,0.9704444444444444,0.17244558036327362,0.6135836243629456
16,0.04898721008346062,0.2316582528918476,0.9891904761904762,0.9652222222222222,0.21657408773899078,0.6718472838401794
17,0.0369415482825471,0.2020091919446403,0.9919523809523809,0.9687222222222223,0.219727024435997,0.6062690019607544
18,0.0570638170594797,0.222871502792602,0.9881904761904762,0.9681111111111111,0.2609191834926605,0.6359084248542786
19,0.06311901203883553,0.30732859882238434,0.9863333333333333,0.9567777777777777,0.2534573972225189,0.8128751516342163
